[17-Jul-2015 11:59:25 Europe/Amsterdam] PHP Fatal error:  Trait 'App\SofDeletes' not found in /home/id00005/domains/digitusmarketing.nl/app/Ebook.php on line 7
[17-Jul-2015 12:00:06 Europe/Amsterdam] PHP Fatal error:  Trait 'App\SofDeletes' not found in /home/id00005/domains/digitusmarketing.nl/app/Ebook.php on line 8
[17-Jul-2015 12:00:21 Europe/Amsterdam] PHP Fatal error:  Trait 'App\SofDeletes' not found in /home/id00005/domains/digitusmarketing.nl/app/Ebook.php on line 8
[17-Jul-2015 12:06:12 Europe/Amsterdam] PHP Fatal error:  Call to a member function withTrashed() on a non-object in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/Admin/AdminEbooksController.php on line 44
[17-Jul-2015 12:06:38 Europe/Amsterdam] PHP Fatal error:  Call to a member function trashed() on a non-object in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/Admin/AdminEbooksController.php on line 44
[17-Jul-2015 12:07:18 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Illuminate\Database\Eloquent\Collection::withTrashed() in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/Admin/AdminEbooksController.php on line 44
[17-Jul-2015 12:29:56 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected ',' in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/f6d98489d2aa7d74d0e73c5eb183d1c0 on line 44
[17-Jul-2015 12:40:11 Europe/Amsterdam] PHP Fatal error:  Call to a member function restore() on a non-object in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/Admin/AdminEbooksController.php on line 191
[17-Jul-2015 12:41:29 Europe/Amsterdam] PHP Fatal error:  Call to a member function trashed() on a non-object in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/Admin/AdminEbooksController.php on line 191
[17-Jul-2015 12:45:18 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Illuminate\Database\Eloquent\Collection::trashed() in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/Admin/AdminEbooksController.php on line 192
[17-Jul-2015 16:19:12 Europe/Amsterdam] PHP Fatal error:  Call to undefined method App\Repositories\EbookRepository::where() in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/Admin/AdminEbooksController.php on line 211
[17-Jul-2015 16:21:58 Europe/Amsterdam] PHP Fatal error:  Call to undefined method App\Repositories\EbookRepository::withTrashed() in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/Admin/AdminEbooksController.php on line 211
[17-Jul-2015 16:50:40 Europe/Amsterdam] PHP Fatal error:  Class 'App\Http\Controllers\Admin\Response' not found in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/Admin/AdminEbooksController.php on line 117
[17-Jul-2015 16:52:58 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/f6d98489d2aa7d74d0e73c5eb183d1c0 on line 61
[18-Jul-2015 13:29:48 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected 'track' (T_STRING) in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/3e60170dddc2594e18e2ec52075e1b1a on line 14
[18-Jul-2015 13:29:51 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected 'track' (T_STRING) in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/3e60170dddc2594e18e2ec52075e1b1a on line 14
[19-Jul-2015 15:30:45 Europe/Amsterdam] PHP Fatal error:  Class 'App\Http\Middleware\Str' not found in /home/id00005/domains/digitusmarketing.nl/app/Http/Middleware/EenDagCache.php on line 37
[19-Jul-2015 15:30:47 Europe/Amsterdam] PHP Fatal error:  Class 'App\Http\Middleware\Str' not found in /home/id00005/domains/digitusmarketing.nl/app/Http/Middleware/EenDagCache.php on line 37
[19-Jul-2015 15:31:06 Europe/Amsterdam] PHP Fatal error:  Class 'Str' not found in /home/id00005/domains/digitusmarketing.nl/app/Http/Middleware/EenDagCache.php on line 38
